id,emotionality,minority,title,teaser,text,image_id,Main theme,condition
1a,1,1,"Transpersonen over belang nieuwe wet: “Belachelijk, ik moet nu eerst bewijzen dat ik trans genoeg ben”","Den Haag debatteert al twee dagen over de controversiële nieuwe Transgenderwet, die geslachtsverandering in het paspoort eenvoudiger moet maken. Transpersoon Ruud Moerman vertelt ons over zijn vroegere strijd. Voor zijn transitie en de voornoemde aanpassing had hij eerst groen licht nodig van een psycholoog.","<p>De nieuwe Transgenderwet zou onder andere moeten regelen dat de zogeheten deskundigenverklaring - een bevestiging gegeven door een genderpsycholoog of arts - bij de aanvraag van een aanpassing van het geslacht in het paspoort komt te vervallen. </p> <p>Ruud Moerman (29) is kunstenaar en woont in Feijenoord. Hij kreeg bij zijn transitie nog te maken met de ingrijpende procedures vóór de voorgestelde wijzigen. </p> <p>“Dus jij wil een jongen worden?” Dat vroeg de psycholoog toen ik op mijn twaalfde voor het eerst in het VU Medisch Centrum kwam. Ik schrok daarvan: niemand had dat ooit zo direct aan me gevraagd. Door mijn schrikreactie ontstond er twijfel en werd ik naar huis gestuurd. Daardoor heeft mijn transitie jaren vertraging opgelopen. Ik heb drie keer om een andere psycholoog gevraagd, maar dat verzoek werd elke keer afgewezen. Ik was dus volledig afhankelijk van iemand die ik niet kon weigeren. Vrije artsenkeuze, my ass.”</p><p>“Ik ben nog van de generatie van vóór 2014 en mij werd verteld dat ik, als ik mijn baarmoeder niet zou laten verwijderen, kanker zou krijgen. Mijn sterilisatie vond in 2014 plaats, te laat voor de wetswijziging van toen. Die hield in dat je niet meer verplicht werd je te steriliseren om je geslachtsvermelding te kunnen laten wijzigen.”</p><p>“Ik vind het zo belachelijk dat er een persoon tussen de patiënt en het medisch team zit aan wie ik moet bewijzen dat ik trans genoeg ben. In die tijd durfde ik bijvoorbeeld geen nagellak te dragen uit angst dat ze me niet man genoeg zouden vinden. De huidige wetgeving is gebaseerd op stereotypes.”</p><p>“Trans personen denken veel meer dan anderen na over zichzelf en hun gender. Iemand anders laten bevestigen of dat gevoel juist is, is zeggen dat je daar niet intelligent genoeg voor bent. Het is denigrerend.”</p>",,trans people explain why getting rid of the deskundigenverklaring matters to them,1
1b,0,1,Transpersoon over belang nieuwe wet: “Ik moet nu eerst bewijzen dat ik trans genoeg ben”,"Den Haag debatteert al twee dagen over de nieuwe Transgenderwet, die geslachtsverandering in het paspoort eenvoudiger moet maken. Transpersoon Ruud Moerman vertelt ons over het belang van de wet. Voor zijn transitie en de voornoemde aanpassing had hij eerst groen licht nodig van een psycholoog.","<p>De nieuwe Transgenderwet zou onder andere moeten regelen dat de zogeheten deskundigenverklaring - een bevestiging gegeven door een genderpsycholoog of arts - bij de aanvraag van een aanpassing van het geslacht in het paspoort komt te vervallen.</p><p>Ruud Moerman (29)is kunstenaar en woont in Feijenoord. Hij kreeg bij zijn transitie nog te maken met de procedures vóór de voorgestelde wijzigen.</p><p>“Dus jij wil een jongen worden?” Dat vroeg de psycholoog toen ik op mijn twaalfde voor het eerst in het VU Medisch Centrum kwam. Ik begon aan mezelf te twijfelen: niemand had dat ooit zo direct aan me gevraagd. Door mijn twijfel werd ik naar huis gestuurd. Daardoor heeft mijn transitie jaren vertraging opgelopen. Ik heb drie keer om een andere psycholoog gevraagd, maar dat verzoek werd elke keer afgewezen. Ik was dus volledig afhankelijk van iemand die ik niet kon weigeren. We zouden vrije artsenkeuze moeten hebben, maar in de praktijk is dat dus anders.”</p><p>“Ik ben nog van de generatie van vóór 2014 en mij werd verteld dat ik, als ik mijn baarmoeder niet zou laten verwijderen, kanker zou krijgen. Mijn sterilisatie vond in 2014 plaats, te laat voor de wetswijziging van toen. Die hield in dat je niet meer verplicht werd je te steriliseren om je geslachtsvermelding te kunnen laten wijzigen.”</p><p>“Ik vind het niet kloppen dat er een persoon tussen de patiënt en het medisch team zit aan wie ik moet bewijzen dat ik trans genoeg ben. In die tijd durfde ik bijvoorbeeld geen nagellak te dragen uit angst dat ze me niet man genoeg zouden vinden. De huidige wetgeving is gebaseerd op stereotypes, en ik denk dat artsen of psychologen vaak ook op basis daarvan oordelen.”</p><p>“Trans personen denken veel meer dan anderen na over zichzelf en hun gender. Iemand anders laten bevestigen of dat gevoel juist is, is zeggen dat je daar niet intelligent genoeg voor bent. Critici zouden zich moeten afvragen welk signaal ze daarmee afgeven aan transpersonen.”</p>",,trans people explain why getting rid of the deskundigenverklaring matters to them,2
1c,1,0,Weg met denigrerende procedures: dankzij nieuwe Transgenderwet hoeven transpersonen niet meer te bewijzen dat ze ‘écht trans’ zijn ,"Den Haag debatteert al twee dagen over de controversiële nieuwe Transgenderwet. Critici zijn bang dat de nieuwe wet, die geslachtsverandering in het paspoort eenvoudiger moet maken, kinderen blootstelt aan beslissingen die zij nog niet aankunnen. Parool-columnist Sandra Beekman vindt de consternatie belachelijk.","<p>De nieuwe Transgenderwet, waarover de Tweede Kamer op dit moment debatteert, maakt veranderingen aan de bestaande regelgeving rond geslachtswijziging. Die zou door de nieuwe wijzigingen het leven van veel transpersonen makkelijker maken. De deskundigenverklaring, waarbij een arts of psycholoog groen licht moet geven voor de transitie, zou in de nieuwe wet komen te vervallen.</p> <p>Een goede zaak, want de huidige wetgeving wordt door veel transpersonen ervaren als zeer denigrerend en de procedure als ingrijpend. De deskundigenverklaring, een bevestiging gegeven door een genderpsycholoog of arts, laat namelijk nog weleens maanden of soms zelfs jaren op zich wachten. Ondertussen staat het leven van de transpersoon compleet stil. Een ellenlang traject dus, waarin transgender personen zichzelf moeten verantwoorden.</p> <p>Daar komt nog bovenop dat transpersonen hierbij vaak afhankelijk zijn van één psycholoog. Als die er niet van overtuigd is dat je trans bent, dan heb je gewoon pech. Je zou denken dat er mogelijkheden zijn om naar een ander psycholoog te wisselen als dat niet werkt, maar volgens verhalen van transgender personen is dit vaak niet het geval.  Er is dus duidelijk behoefte aan verandering van het huidige proces. Transpersonen kunnen namelijk heel goed zelf bepalen wie ze zijn. Zonder denigrerende deskundigenverklaring.</p>",,trans people explain why getting rid of the deskundigenverklaring matters to them,3
1d,0,0,Nieuwe Transgenderwet wakkert discussie aan over deskundigenverklaring,"Den Haag debatteert al twee dagen over de nieuwe Transgenderwet, die geslachtsverandering in het paspoort eenvoudiger moet maken. Critici van het wetsvoorstel wijzen op de grote verantwoordelijkheid die door de voorgestelde wijzigingen bij kinderen en jonge mensen wordt gelegd. Voorstanders vinden dat transpersonen die verantwoordelijkheid prima aankunnen.",<p>De nieuwe Transgenderwet zou onder andere moeten regelen dat de zogeheten deskundigenverklaring - een bevestiging gegeven door een genderpsycholoog of arts - bij de aanvraag van een aanpassing van het geslacht in het paspoort komt te vervallen. Critici beweren dat beïnvloedbare jonge mensen hierdoor te veel verantwoordelijkheid krijgen om grote beslissingen te maken. Anderzijds stellen transpersonen en transactivisten dat ze deze verantwoordelijkheid kunnen en mogen dragen.</p> <p>Heikel punt in de discussies is de tussenkomst van een arts of psycholoog bij het geven van de deskundigenverklaring. Volgens transpersonen is deze tussenkomst onnodig; ze zijn tenslotte al in behandeling bij een medisch team. Ook stellen ze dat de vrije keuze voor een arts of psycholoog bij deze procedure vaak in het geding komt. Daardoor kunnen ze voor de aanvraag van hun geslachtswijziging in het paspoort afhankelijk zijn van een psycholoog of arts die hen niet goed kent.</p><p>Critici van de nieuwe wet wijzen vooral op de lage leeftijdsgrens die met de voorgestelde wijzigingen gemoeid zijn. Volgens die wijzigingen zou de deskundigenverklaring ook voor kinderen onder de 16 jaar komen te vervallen. Velen vragen zich af of kinderen onder deze leeftijd al in staat zouden moeten zijn zulke grote keuzes zonder tussenkomst van een arts of psycholoog te maken.</p>,,trans people explain why getting rid of the deskundigenverklaring matters to them,4
2a,1,1,Kritiek op nieuwe Transgenderwet is “boosmakend en transfoob”: Transvrouw vertelt over het belang van de wet,Adriana Maria Costa (37) is van Braziliaanse komaf en kent de ellenlange bureaucratische procedures in Nederland als geen ander. Zij vertelt hoe ze over de nieuwe transgenderwet denkt.,"<p>De nieuwe Transgenderwet zou onder andere moeten regelen dat de zogeheten deskundigenverklaring - een bevestiging gegeven door een genderpsycholoog of arts - bij de aanvraag van een aanpassing van het geslacht in het paspoort komt te vervallen.</p> <p>Adriana: “Ik hoop heel erg dat de wet erdoor komt, want wij transpersonen zouden niet langs een psycholoog of dokter moeten om uit te leggen wie we zijn. Ik vind het belachelijk dat we anno 2022 in een land als Nederland, dat zichzelf verkoopt als geëmancipeerd, vanwege de ellenlange wachtlijsten bij het VU Medisch Centrum moeten wachten, alleen om iets in ons paspoort te laten veranderen. Ik ben niet tegen dokters, maar ik vind het schandalig dat zij degenen zijn die bepalen wie wel of niet trans is. Het idee dat transpersonen dat niet zelf het best weten, voelt dehumaniserend.”</p><p>“Omdat ik een dubbele nationaliteit heb en in Brazilië ben geboren, was het voor mij heel ingewikkeld om mijn geslacht in mijn Nederlandse paspoort te veranderen, aangezien ik de juiste documenten niet had. Ik heb al twintig jaar geen contact met mijn vader en dat maakte het nog lastiger. De procedure hier in Nederland heeft me onnodig veel stress en zorgen bezorgd. De Christelijke politieke tegenstanders van de Transgenderwet zijn tegen elke motie over meer rechten voor transgenders. Ik zie dat als een vorm van transfobie en word er echt boos van, net als van radicale feministen die transpersonen niet als vrouw zien. Die vind ik crimineel, want door hen worden transpersonen nog een grotere minderheid binnen alle al bestaande minderheden.”</p>",,responses to criticisms of new transgender law,1
2b,0,1,Kritiek op de nieuwe Transgenderwet is “ongegrond”: Transgendervrouw over haar kijk op de wet,De nieuwe Transgenderwet doet veel stof opwaaien in Den Haag. Politici en transgenderactivisten kunnen het niet eens worden over de voorgestelde wijzigingen in de nieuwe wet. Adriana Maria Costa (37) is transvrouw en deelt haar kijk op de voorgestelde wijzigingen. ,"<p>De nieuwe Transgenderwet zou onder andere moeten regelen dat de zogeheten deskundigenverklaring - een bevestiging gegeven door een genderpsycholoog of arts - bij de aanvraag van een aanpassing van het geslacht in het paspoort komt te vervallen.</p><p>Adriana: “Persoonlijk hoop ik heel erg dat de wet erdoor komt, want wij transpersonen zouden niet langs een psycholoog of dokter moeten om te vertellen wie we zijn. Ik vind het moeilijk uit te leggen dat je anno 2022 in een land als Nederland maanden of soms jaren op wachtlijsten moet staan, alleen om iets in je paspoort te laten veranderen. Ik ben niet tegen dokters, maar het argument dat zij het beste zouden weten of iemand wel ‘écht’ trans is, is ongegrond. Transpersonen weten dat zelf uiteindelijk het beste.”</p><p>“Omdat ik een dubbele nationaliteit heb en in Brazilië ben geboren, was het voor mij heel ingewikkeld om mijn geslacht in mijn Nederlandse paspoort te veranderen, aangezien ik de juiste documenten niet had. Ik heb al twintig jaar geen contact met mijn vader en dat maakte het nog lastiger. De procedure hier in Nederland was heel complex. De Christelijke politieke tegenstanders van de Transgenderwet zijn tegen elke motie over meer rechten voor transgender personen. Dat vind ik kwalijk. Ik denk dat transpersonen daardoor alleen nog een grotere minderheid worden binnen alle al bestaande minderheden.”</p>",,responses to criticisms of new transgender law,2
2c,1,0,Critici nieuwe Transgenderwet dragen bij aan dehumanisering transpersonen,"De nieuwe Transgenderwet moet het makkelijker maken voor transpersonen om hun wettelijke geslacht in hun paspoort aan te passen. Huidige procedures zijn boosmakend en transfoob, en tegenstanders van de wet weigeren transpersonen als volledig mensen te zien, stelt columnist Sandra Beekman. ","<p>Door de voorgestelde aanpassingen in de Transgenderwet zou de zogeheten deskundigenverklaring komen te vervallen. Momenteel houdt die verklaring in dat transpersonen toestemming nodig hebben van een psycholoog of arts voordat zij hun geslacht wettelijk mogen laten aanpassen.</p><p>En dat is een ellenlange procedure, zullen veel transpersonen je kunnen vertellen. Sterker: de constante verantwoording die van transpersonen wordt verwacht is belachelijk te noemen.</p><p>En dat is een ellenlange procedure, zullen veel transpersonen je kunnen vertellen. Sterker: de constante verantwoording die van transpersonen wordt verwacht is belachelijk te noemen.</p><p>De bureaucratische hordes die transpersonen moeten doorkruisen om hun geslacht te wijzigen zijn voor vele transpersonen boosmakend. Daar komen de lange wachtlijsten bij ziekenhuizen en medische centra nog bovenop, die wel crimineel te noemen zijn. Laten we het onszelf dan ook vooral zo makkelijk mogelijk maken en hier zo snel mogelijk vanaf stappen. Want ook transpersonen verdienen het om met respect voor hun zelfbeschikking bejegend te worden. </p>",,responses to criticisms of new transgender law,3
2d,0,0,"Lange bureaucratische barrières voor transpersonen leiden tot kritiek, nieuwe Transgenderwet moet oplossing bieden",De nieuwe Transgenderwet doet veel stof opwaaien in Den Haag. Politici en transgenderactivisten kunnen het niet eens worden over de voorgestelde wijzigingen in de nieuwe wet. De nieuwe wet zou vooral op het gebied van bureaucratische hordes verlichting moeten bieden aan transpersonen.,"<p>Door de voorgestelde aanpassingen in de wet zou de zogeheten deskundigenverklaring komen te vervallen. Momenteel houdt die verklaring in dat transpersonen toestemming nodig hebben van een psycholoog of arts voordat zij hun geslacht wettelijk mogen laten aanpassen.</p><p>Bekend is dat vrijwel alle ziekenhuizen en genderklinieken kampen met lange wachtlijsten. Hierdoor moeten transgender personen soms maanden wachten om iets in hun paspoort te laten veranderen. Transpersonen en -activisten vragen zich hardop af of de deskundigenverklaring nog van deze tijd is. Niet alleen wordt de procedure daardoor volgens hen onnodig lang; ook wordt de autonomie om over je eigen geslacht te beslissen bij een psycholoog of arts gelegd.</p><p>Vooral als iemand uit het buitenland komt is het proces traag. In deze situatie kan het bijvoorbeeld moeilijk zijn om de nodige documenten te bemachtigen. Ook voor deze groep mensen zou de nieuwe wet dus een uitkomst bieden. Of en hoe de betrokken partijen in Den Haag uit hun impasse komen, valt nog te bezien. </p>",,responses to criticisms of new transgender law,4
3a,1,1,Argumenten critici Transgenderwet “slaan helemaal nergens op”: Transman over waarom de nieuwe wet voor transgender personen zo belangrijk is,"Romero Dalstra (24) is niet onder de indruk van de argumenten van tegenstanders van de nieuwe Transgenderwet. De wet, die deze week besproken wordt door de Tweede Kamer, heeft aan beide kanten van het debat veel emotie aangewakkerd. Romero vertelt waarom de nieuwe wet een verademing zou zijn voor transpersonen.","<p>Romero Dalstra (26) doet een opleiding tot personal trainer en woont in Amsterdam-Zuid.</p><p>“Veel argumenten van tegenstanders van de wijziging van de Transgenderwet, zoals dat mannen zomaar vrouwenkleedkamers binnen kunnen komen, slaan helemaal nergens op. Het al dan niet hebben van een V’tje in je paspoort gaat echt geen bepalende factor zijn als iemand een kleedkamer wil binnendringen. Daarnaast zijn soortgelijke wetten in andere Europese landen doorgevoerd en is er geen stijging te zien van geweld van transpersonen naar vrouwen toe. Verder denken mensen dat deze wet het heel makkelijk maakt voor kinderen om hun geslacht te wijzigen, maar die moeten nog steeds langs de rechter.”</p><p>“Ik denk dat de nieuwe Transgenderwet voor heel veel trans personen zorgt voor een enorme lastenverlichting; de wet neemt een onnodige hobbel weg. Om je naam te laten veranderen, heb je nu een verklaring nodig van een genderpsycholoog. Die zitten alleen bij genderpoli’s. Ik heb tweeënhalf jaar gewacht op een intakegesprek, daarna moest ik nog een halfjaar een diagnostisch traject in. Het is dus echt een schokkend lange route om zo’n verklaring te krijgen en m’n leven stond intussen on hold, terwijl ik het eigenlijk ten volle wilde leven. Door de slechte wetgeving is me dus een deel van mijn leven afgenomen.”</p><p>“Toen de naam- en geslachtswijziging eindelijk was gelukt, was dat een enorme opluchting. Ik zag terug hoe ik echt genoemd wilde worden. Daarnaast, en dat woog misschien nog wel zwaarder, was het bureaucratisch ongemak weg. In de tijd dat ik wachtte op de verklaring en wel al als man door het leven ging, moest ik een keer overstappen in de Verenigde Ara­bische Emiraten. Dat was door de verkeerde gegevens in m’n paspoort zenuwslopend, al verliep het gelukkig probleemloos.”</p><p>“Maar ook als ik solliciteerde voor een nieuwe baan en me voorstelde als Romero, werd ik bij het opsturen van m’n identiteitskaart meteen gedwongen mijn verhaal te delen met mensen die ik amper ken. Daardoor wordt ons als transpersonen ons recht op privacy ontnomen. Het mag toch niet zo zijn dat wij aan iedereen onze zeer persoonlijke ervaringen uit te doeken moeten doen?</p>",,countering the arguments of those who are against the new transgender law,1
3b,0,1,"Argumenten critici Transgenderwet zijn makkelijk te weerleggen, vindt transman Romero Dalstra","Dalstra (24) is niet onder de indruk van de argumenten van tegenstanders van de nieuwe Transgenderwet. De wet, die deze week besproken wordt door de Tweede Kamer, heeft aan beide kanten van het debat tot discussies geleid. Romero licht het perspectief van transpersonen toe. ","<p>Romero Dalstra (26) doet een opleiding tot personal trainer en woont in Amsterdam-Zuid.</p><p>“Veel argumenten van tegenstanders van de wijziging van de Transgenderwet, zoals dat mannen zomaar vrouwenkleedkamers binnen kunnen komen, zijn niet erg sterk. Het al dan niet hebben van een V’tje in je paspoort zal geen bepalende factor zijn als iemand een kleedkamer wil binnendringen. Daarnaast zijn soortgelijke wetten in andere Europese landen doorgevoerd en is er geen stijging te zien van geweld van transpersonen naar vrouwen toe. Verder denken mensen dat deze wet het heel makkelijk maakt voor kinderen om hun geslacht te wijzigen, maar die moeten nog steeds langs de rechter.”</p><p>“Ik denk dat de nieuwe Transgenderwet het leven van veel transpersonen praktisch makkelijker zal maken. Om je naam te laten veranderen, heb je nu een verklaring nodig van een genderpsycholoog. Die zitten alleen bij genderpoli’s. Ik heb tweeënhalf jaar gewacht op een intakegesprek, daarna moest ik nog een halfjaar een diagnostisch traject in. Het is dus een lange route om zo’n verklaring te krijgen, en deze nieuwe wetgeving zou dat kunnen verhelpen.”</p><p>“Toen mijn naam- en geslachtswijziging eindelijk was gelukt, was dat een opluchting. Ik zag terug hoe ik echt genoemd wilde worden. Daarnaast, en dat woog misschien nog wel zwaarder, was het bureaucratisch ongemak weg. Als ik ging reizen wist ik nooit of ik bij de overstap misschien problemen zou kunnen krijgen vanwege verwarring.”</p><p>“Maar ook als ik solliciteerde voor een nieuwe baan en me voorstelde als Romero, werd ik bij het opsturen van m’n identiteitskaart meteen gedwongen mijn verhaal te delen met mensen die ik amper ken. Het is fijn dat de nieuwe wet dit soort ongemakken kan weghalen.”</p>",,countering the arguments of those who are against the new transgender law,2
3c,1,0,Anti-transactivisten maskeren transfobie met beroep op angstgevoelens,"De nieuwe Transgenderwet levert felle discussie op over het vermogen van transpersonen om over hun eigen lichaam en leven te beschikken. De argumenten die critici van de wet daarbij in het leven roepen slaan helemaal nergens op, vindt Parool-columniste Sandra Beekman. De nieuwe wetgeving is voor transpersonen juist een verademing.","<p>U zult het verhaal inmiddels al meerdere keren gehoord hebben: een onschuldige jonge vrouw wordt in het openbare toilet lastiggevallen door een binnendringer. De binnendringer is iemand die daar niet ‘hoort’ te zijn; een transvrouw.</p><p>Gelukkig heeft dit verhaal niks te maken met de werkelijkheid. Het heeft juist alles weg van een sprookje. Een fabeltje, een leugen, in het leven geroepen om één bepaalde bevolkingsgroep te demoniseren.</p><p>In landen waar de wetgeving rondom officiële geslachtsverandering van transpersonen is geflexibiliseerd, is geen stijging van geweldsincidenten tegen vrouwen bekend. Desondanks schermen anti-transactivisten graag met deze leugen.  Trap er niet in, beste lezer.</p> <p>Veel mensen denken dat de nieuwe Transgenderwet het heel makkelijk maakt voor kinderen om hun geslacht te wijzigen. Dat is niet zo: zij moeten nog steeds langs de rechter.</p><p>De nieuwe wet zorgt vooral voor veel minder gedoe. De wet zorgt vooral voor een enorme lastenverlichting voor transpersonen om hun naam en geslacht in het paspoort te laten veranderen. Nu heb je daarvoor een verklaring nodig van een genderpsycholoog. Die zitten alleen bij genderpoli’s, en soms moet je meer dan twee jaren wachten op een intakegesprek. Het is dus echt een schokkend lange route om zo’n verklaring te krijgen en transgender personen moeten in principe hun leven on hold zetten terwijl ze het eigenlijk ten volle willen leven. Als de naam- en geslachtswijziging eindelijk lukt is dat een enorme opluchting.</p><p>Nu nog wordt transpersonen een deel van hun leven en privacy ontnomen. Dat zouden we als samenleving niet meer moeten willen.</p>",,countering the arguments of those who are against the new transgender law,3
